Generación,MejorFitnessNorm,FitnessNormMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular
﻿233,17389.235789,56.818894,5.1,COLLISION_WITH_NavModifierVolume2,LAZY,28
﻿234,17034.903099,35.265225,4.75,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿235,20422.238757,1135.17957,4.8,COLLISION_WITH_NavModifierVolume30,LAZY,32
﻿236,16494.930314,483.611457,4.416667,COLLISION_WITH_BP_IntersectionBorder11,LAZY,27
﻿237,125545.668036,-7153.837163,6.0,COLLISION_WITH_NavModifierVolume40,LAZY,22
﻿238,14405.464812,-545.183314,6.35,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿239,38889.438664,46.615124,5.6,COLLISION_WITH_NavModifierVolume53,LAZY,29
﻿240,12952.453296,1123.032909,4.3,COLLISION_WITH_NavModifierVolume23,LAZY,31
﻿241,8417.452937,-3166.011655,5.9,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿242,18761.799168,1168.793421,5.7,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿243,14954.776787,160.682564,5.3,COLLISION_WITH_NavModifierVolume30,LAZY,30
﻿244,71457.585566,-2252.054374,5.7,COLLISION_WITH_BP_IntersectionBorder123,LAZY,24
﻿245,126966.104281,-6827.331149,6.9,COLLISION_WITH_BP_IntersectionBorder124,LAZY,29
﻿246,42095.866704,-2380.283175,5.466667,CORRECTINGWRONG,LAZY,33
﻿247,18866.767002,521.719486,5.066667,COLLISION_WITH_BP_IntersectionBorder36,LAZY,30
﻿248,7275.206133,-83.254762,4.783333,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿249,14754.571014,377.400044,6.15,COLLISION_WITH_NavModifierVolume30,LAZY,27
﻿250,15236.451215,926.074171,4.75,COLLISION_WITH_BP_IntersectionBorder11,LAZY,30
﻿251,1636.110426,477.6328,4.533333,COLLISION_WITH_NavModifierVolume23,LAZY,30
﻿252,104645.609266,-1101.45656,6.833333,COLLISION_WITH_BP_IntersectionBorder19,LAZY,30
﻿253,115828.153188,-1024.218017,6.516667,CORRECTINGWRONG,LAZY,27
﻿254,15739.852961,2388.50959,5.716667,COLLISION_WITH_NavModifierVolume30,LAZY,25
﻿255,19249.210284,400.457388,4.95,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿256,15253.672072,1337.403871,4.583333,COLLISION_WITH_BP_IntersectionBorder11,LAZY,28
﻿257,78951.201213,-3708.403414,7.383333,COLLISION_WITH_BP_TrafficLight_01,LAZY,29
﻿258,112532.438895,-1115.873247,7.833333,CORRECTINGWRONG,LAZY,26
﻿259,45172.836672,917.988595,5.25,CORRECTINGWRONG,LAZY,31
﻿260,214397.850314,-7360.258561,6.55,COLLISION_WITH_BP_IntersectionBorder15,LAZY,25
﻿261,16499.388459,2823.422594,8.166667,COLLISION_WITH_NavModifierVolume30,LAZY,18
﻿262,71522.477546,-2155.793615,7.233333,COLLISION_WITH_NavModifierVolume40,LAZY,27
﻿263,15495.874243,824.196036,7.566667,COLLISION_WITH_NavModifierVolume30,LAZY,28
﻿264,10430.534025,-1078.894991,7.583333,COLLISION_WITH_NavModifierVolume2,LAZY,28
﻿265,19731.602597,886.640007,5.183333,COLLISION_WITH_NavModifierVolume30,LAZY,29
﻿266,15581.337584,-4.962706,4.3,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿267,149689.037926,641.550907,8.716667,COLLISION_WITH_NavModifierVolume8,LAZY,27
﻿268,43457.063744,1461.401871,5.283333,COLLISION_WITH_NavModifierVolume53,LAZY,30
﻿269,75577.839617,-291.075232,6.7,COLLISION_WITH_NavModifierVolume59,LAZY,26
﻿270,114421.342713,-3083.083197,5.4,LAZY,LAZY,33
﻿271,20160.668189,1262.857278,5.366667,COLLISION_WITH_NavModifierVolume30,LAZY,24
﻿272,19542.187171,-346.406142,5.4,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿273,18497.153323,2353.974242,6.116667,COLLISION_WITH_NavModifierVolume30,LAZY,21
﻿274,20935.651922,1467.199318,4.966667,COLLISION_WITH_NavModifierVolume30,LAZY,22
﻿275,12939.940754,1524.986699,6.35,COLLISION_WITH_NavModifierVolume30,LAZY,26
﻿276,44758.532489,-2447.488964,6.716667,COLLISION_WITH_BP_IntersectionBorder46,LAZY,26
﻿277,9581.576375,445.706181,5.366667,COLLISION_WITH_BP_IntersectionBorder11,LAZY,32
﻿278,328500.433122,-1755.67399,13.55,COLLISION_WITH_NavModifierVolume40,LAZY,31
﻿279,4589.351629,2427.709336,7.15,COLLISION_WITH_NavModifierVolume23,LAZY,19
﻿280,16092.316042,638.306656,6.383333,COLLISION_WITH_NavModifierVolume23,LAZY,28
﻿281,41594.900511,-230.53135,6.116667,CORRECTINGWRONG,LAZY,25
﻿282,18029.188365,-35.399168,4.133333,COLLISION_WITH_NavModifierVolume23,LAZY,24
﻿283,15239.759046,807.14082,5.516667,COLLISION_WITH_NavModifierVolume23,LAZY,27
﻿284,22078.968654,-219.217473,4.5,COLLISION_WITH_NavModifierVolume8,LAZY,29
