Generation BestFit MeanFit BestFitMA MeanFitMA
297 3613.039309 17709.126064 3894.3820486666568 15123.737529966635
298 3613.721857 14398.654086 3896.2886193333234 15131.691776066635
299 3590.37691 14097.426203 3895.1390340666567 15086.533916633301
300 3584.9197 14312.677232 3610.51817549999 14998.198491666633
301 3635.199898 13841.81655 3612.5601683666569 14977.296111399966
302 3568.465649 15570.127111 3610.2688219333236 15068.449147099967
303 3566.125824 18357.16391 3611.5806809333239 15161.798123266633
304 3611.534433 16767.375755 3611.7509599666573 15151.2525988333
305 3565.024748 20178.984646 3610.5648209333235 15260.967629033303
306 3523.133222 16761.908226 3605.875068766657 15307.521982933302
307 3538.888046 14160.697639 3602.6368851666571 15401.276501633303
