Generación,MejorFitnessNorm,FitnessMedio,TiempoMedio,RazónMuerteMejorCoche,RazónMuerteMásPopular,MuertosPorRazónMásPopular,N
﻿106,40413.512752,2297.495603,10.0,LAZY,LAZY,26,51
﻿107,37525.179456,2420.301979,8.960784,COLLISION_WITH_BP_IntersectionBorder50,LAZY,24,51
﻿108,64202.564613,2098.89978,8.686275,TIMEFINISHED,LAZY,22,51
﻿109,2379.578813,2038.359858,9.72549,STOP_VIOLATION,LAZY,13,51
﻿110,4589.386314,659.337379,6.686275,STOP_VIOLATION,LAZY,29,51
﻿111,12211.445393,1551.944914,8.196078,STOP_VIOLATION,LAZY,28,51
﻿112,50393.663731,1691.795901,7.294118,COLLISION_WITH_NavModifierVolume7,LAZY,27,51
﻿113,6119.878769,2649.142952,10.470588,STOP_VIOLATION,LAZY,25,51
﻿114,7160.14498,1214.405746,10.215686,TIMEFINISHED,LAZY,27,51
﻿115,1832.831931,847.854555,7.215686,STOP_VIOLATION,LAZY,26,51
﻿116,21141.67448,1267.921799,7.803922,COLLISION_WITH_NavModifierVolume2,LAZY,9,51
﻿117,5574.359207,2219.611839,9.941176,STOP_VIOLATION,LAZY,16,51
﻿118,43871.443377,2554.455301,9.882353,COLLISION_WITH_BP_IntersectionBorder19,LAZY,29,51
﻿119,44164.659231,1672.520931,8.745098,COLLISION_WITH_NavModifierVolume21,LAZY,22,51
﻿120,14238.61524,1130.509935,6.607843,STOP_VIOLATION,LAZY,28,51
﻿121,2942.499589,1256.921449,7.0,COLLISION_WITH_NavModifierVolume13,LAZY,21,51
﻿122,8918.890038,1015.241475,8.803922,LAZY,LAZY,28,51
